Day,PV power generation in kW,Wind power generation in kW
2016-12-01T00:00:00.000000000,0.2853333333333334,0.08351812040154828
2016-12-01T01:00:00.000000000,0.246,0.09940279933391806
2016-12-01T02:00:00.000000000,0.03933333333333333,0.07254165667725233
2016-12-01T03:00:00.000000000,0.12466666666666666,0.07711903665426846
2016-12-01T04:00:00.000000000,0.018666666666666668,0.06921444474883699
2016-12-01T05:00:00.000000000,0.07733333333333332,0.06003695400190147
2016-12-01T06:00:00.000000000,0.16833333333333336,0.06366592315017884
2016-12-01T07:00:00.000000000,0.06266666666666666,0.13517834449856647
2016-12-01T08:00:00.000000000,0.17699999999999996,0.05085531551784618
2016-12-01T09:00:00.000000000,0.17400000000000002,0.011463675744770765
2016-12-01T10:00:00.000000000,0.09066666666666667,0.04097938609918002
2016-12-01T11:00:00.000000000,0.10100000000000002,0.030993368028266424
2016-12-01T12:00:00.000000000,0.24233333333333337,-0.03142177445801923
2016-12-01T13:00:00.000000000,0.19933333333333333,0.03297461378516693
2016-12-01T14:00:00.000000000,0.23133333333333336,0.05618170924997619
2016-12-01T15:00:00.000000000,0.08266666666666667,0.06056035350634896
2016-12-01T16:00:00.000000000,0.08266666666666667,0.10943039336752634
2016-12-01T17:00:00.000000000,0.07133333333333335,0.28161555509330083
2016-12-01T18:00:00.000000000,0.31833333333333336,0.4850488562335621
2016-12-01T19:00:00.000000000,0.07133333333333335,0.115048327957095
2016-12-01T20:00:00.000000000,0.35033333333333333,0.19426875550295103
2016-12-01T21:00:00.000000000,0.12733333333333333,0.16941738038072862
2016-12-01T22:00:00.000000000,0.11433333333333333,0.21487016029971034
2016-12-01T23:00:00.000000000,0.324,0.14510405219161537
