Time,Timestamp,Load in kW (Supermarket)
Sun Dec 31 00:00:00 2017,1514674800.0,44.666666666666664
Sun Dec 31 01:00:00 2017,1514678400.0,48.666666666666664
Sun Dec 31 02:00:00 2017,1514682000.0,45.333333333333336
Sun Dec 31 03:00:00 2017,1514685600.0,46.5
Sun Dec 31 04:00:00 2017,1514689200.0,50.333333333333336
Sun Dec 31 05:00:00 2017,1514692800.0,46.0
Sun Dec 31 06:00:00 2017,1514696400.0,42.5
Sun Dec 31 07:00:00 2017,1514700000.0,47.0
Sun Dec 31 08:00:00 2017,1514703600.0,43.0
Sun Dec 31 09:00:00 2017,1514707200.0,49.833333333333336
Sun Dec 31 10:00:00 2017,1514710800.0,45.666666666666664
Sun Dec 31 11:00:00 2017,1514714400.0,50.333333333333336
Sun Dec 31 12:00:00 2017,1514718000.0,49.5
Sun Dec 31 13:00:00 2017,1514721600.0,46.666666666666664
Sun Dec 31 14:00:00 2017,1514725200.0,46.666666666666664
Sun Dec 31 15:00:00 2017,1514728800.0,50.0
Sun Dec 31 16:00:00 2017,1514732400.0,46.166666666666664
Sun Dec 31 17:00:00 2017,1514736000.0,48.0
Sun Dec 31 18:00:00 2017,1514739600.0,49.5
Sun Dec 31 19:00:00 2017,1514743200.0,49.833333333333336
Sun Dec 31 20:00:00 2017,1514746800.0,42.666666666666664
Sun Dec 31 21:00:00 2017,1514750400.0,45.5
Sun Dec 31 22:00:00 2017,1514754000.0,47.666666666666664
Sun Dec 31 23:00:00 2017,1514757600.0,44.166666666666664
